,Estrategia,Categoría,CAGR IS,CAGR OOS,Alpha IS,Alpha OOS,Sharpe IS,Sharpe OOS,MaxDD IS,MaxDD OOS,$100 1yr
92,ETF_GTAA_L6_top1,ETF Rotation,0.0626427495226265,0.1446225207896097,-0.06992186702983605,-0.01398044620835548,0.2200673724863462,0.6544516612630998,-0.29165792744622676,-0.24328168040670428,114.46225207896097
93,ETF_MultiAsset_L6_top1,ETF Rotation,0.027548274616793433,0.14436295844900005,-0.10501634193566911,-0.014240008548965122,-0.018027235286639704,0.6085783230533435,-0.28215052736636714,-0.35118318871028775,114.4362958449
94,SEASONAL_EvitarQ3,Seasonal,0.13377716423895514,0.14371134965021537,0.0012125476864925933,-0.014891617347749797,0.8924874507703534,0.6899534990372678,-0.15239199006082094,-0.1998133596281796,114.37113496502154
95,ETF_MultiAsset_L1_top2,ETF Rotation,0.05648358339012849,0.14132667663816267,-0.07608103316233406,-0.017276290359802493,0.1959580870119356,0.6428762677724198,-0.22994947066515126,-0.3758619048128593,114.13266766381626
96,ETF_GTAA_L1_top3,ETF Rotation,0.08081668843789536,0.14116235784654063,-0.05174792811456719,-0.017440609151424535,0.5595652951319764,0.8893870110756841,-0.14407120340066482,-0.29199568061296566,114.11623578465407
97,ETF_MultiAsset_L6_top3,ETF Rotation,0.09984041344006989,0.1407768743917721,-0.03272420311239266,-0.017826092606193056,0.5745797953603454,0.6830691473809405,-0.16310260296736356,-0.30081811366059075,114.07768743917721
98,ETF_GTAA_L3_top3,ETF Rotation,0.0937942496176909,0.14072143845459095,-0.03877036693477165,-0.017881528543374214,0.682135120345778,0.8970303593899129,-0.11038531001424234,-0.19479160249649186,114.0721438454591
99,TREND_SPY_MA18_cash,Trend Following,0.09778532931795869,0.14022867816664353,-0.03477928723450385,-0.01837428883132164,0.5725479118352423,0.7112001321808055,-0.16283644249835327,-0.19415152137605207,114.02286781666436
100,DUALMOM_L6_EFA_TLT,Dual Momentum,0.21288925526687907,0.13922344999933078,0.08032463871441653,-0.019379516998634383,1.4406214941185045,0.6837511088798749,-0.0691041400584409,-0.28706308133986136,113.92234499993307
101,ETF_GTAA_L6_top3,ETF Rotation,0.09835501788698475,0.1385577016252555,-0.03420959866547779,-0.020045265372709675,0.7287653852821906,0.8700090170947228,-0.11819886713483663,-0.20639217485922878,113.85577016252554
102,ETF_GTAA_L3_top2,ETF Rotation,0.09883136244490487,0.13804652035717901,-0.033733254107557675,-0.020556446640786152,0.5498712889988089,0.7579674751665033,-0.19288821062847095,-0.18562082288441417,113.80465203571791
103,TREND_QQQ_MA10_TLT,Trend Following,0.14741456668396613,0.13152332308425407,0.014849950131503586,-0.027079643913711093,0.8347576834104415,0.5619824648100614,-0.14347098041967665,-0.3741205767212219,113.1523323084254
104,MOM_TREND_L12_T20_MA6,Momentum+Trend,0.1496596114342097,0.13147536486050937,0.01709499488174715,-0.027127602137455797,1.068349606188324,0.7086299463304191,-0.10061548890624183,-0.11724266651352655,113.14753648605094
105,TREND_SPY_MA12_TLT,Trend Following,0.10758203862010984,0.13126262653122311,-0.0249825779323527,-0.027340340466742052,0.6377705468472052,0.6308680827865042,-0.15130878289941185,-0.2915969126910102,113.12626265312231
106,ETF_MultiAsset_L6_top2,ETF Rotation,0.06579626202920319,0.13065185247643907,-0.06676835452325935,-0.0279511145215261,0.25560381140033683,0.5906195895833977,-0.21279672611439493,-0.3284872686747299,113.06518524764391
107,TREND_QQQ_MA8_TLT,Trend Following,0.15691079878099412,0.13009435509116996,0.024346182228531577,-0.02850861190679521,0.9034160977388596,0.5564227101355524,-0.14347098041967654,-0.3741205767212219,113.009435509117
108,MOM_TREND_L6_T20_MA6,Momentum+Trend,0.15146403310245904,0.12804619277105922,0.018899416549996495,-0.030556774226905947,1.0291424473626887,0.6427506098496962,-0.0974329276101571,-0.1538922579708054,112.80461927710593
109,MOM_LOWVOL_L12_T10_V3,Mom+LowVol,0.16875157132704444,0.12792873988948772,0.03618695477458189,-0.030674227108477448,1.117863747813289,0.5658830676133396,-0.137331896771546,-0.21261269416403883,112.79287398894877
110,MOM_LOWVOL_L6_T10_V3,Mom+LowVol,0.18787861265529848,0.12498221179088898,0.05531399610283594,-0.03362075520707619,1.2376256772289556,0.5770098770046849,-0.10353983504586228,-0.166408803039377,112.4982211790889
111,ETF_Sectores_L3_top1,ETF Rotation,0.10111701120875805,0.12331073227027245,-0.0314476053437045,-0.03529223472769272,0.46804034160627545,0.4427029647011109,-0.2705678083573595,-0.23233636096649546,112.33107322702725
112,MOM_TREND_L12_T20_MA10,Momentum+Trend,0.12982522445917244,0.12297414321141109,-0.002739392093290105,-0.035628823786554076,0.8214700182259288,0.6204429966719666,-0.1670095799184902,-0.1786119583228113,112.2974143211411
113,ETF_Sectores_L6_top3,ETF Rotation,0.0998745403323189,0.12148090581020865,-0.03269007622014364,-0.03712206118775652,0.5837135107997142,0.5345701347572045,-0.12724797636278162,-0.14809561380095726,112.14809058102087
114,MOM_TREND_L6_T20_MA10,Momentum+Trend,0.13991277711518935,0.12054962715098871,0.007348160562726802,-0.03805333984697645,0.8672061485467281,0.5750100031777992,-0.16333017670286432,-0.19270024352427273,112.05496271509887
115,ETF_Sectores_L1_top1,ETF Rotation,0.07740267864992867,0.12018537366831117,-0.055161937902533875,-0.038417593329654,0.33677997003053534,0.42580861154633576,-0.14579524094715923,-0.3214466908512231,112.01853736683111
116,TREND_SPY_MA18_TLT,Trend Following,0.09651831990707382,0.11915685453827995,-0.03604629664538872,-0.03944611245968521,0.5543521190383077,0.5351067136109255,-0.19756871327717185,-0.2915969126910103,111.91568545382799
117,CONTRARIAN_L6_B20,Contrarian,0.2098720261185274,0.11896654060659406,0.07730740956606486,-0.039636426391371105,1.0208894595878282,0.4435730089016297,-0.22895460327582762,-0.293808740946235,111.8966540606594
